ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6042,"2014",16897,1480,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.36065398817527905
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6042,"2014",5352,792,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11423448805788564
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6042,"2014",2971,574,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.0634138011995475
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6042,"2014",3617,666,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.077202194190092
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6042,"2014",1656,417,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.035346097201767304
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6042,"2014",596,356,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.012721179910780986
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6042,"2014",752,278,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.016050884719643124
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6042,"2014",2039,421,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.043520949392755755
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6042,"2014",1683,349,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.0359223922648396
3,"Foreign Born",0,"Under 5 Years",2014,"2014",46,50,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0009818360333824251
3,"Foreign Born",1,"5 to 17 Years",2014,"2014",136,82,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.002902819576956735
3,"Foreign Born",2,"18 to 24 Years",2014,"2014",1363,349,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.029092228554353162
3,"Foreign Born",3,"25 to 34 Years",2014,"2014",1339,313,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.028579966276066678
3,"Foreign Born",4,"35 to 44 Years",2014,"2014",569,161,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.012144884847708693
3,"Foreign Born",5,"45 to 54 Years",2014,"2014",300,128,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.006403278478581033
3,"Foreign Born",6,"55 to 59 Years",2014,"2014",63,35,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.001344688480502017
3,"Foreign Born",7,"60 & 61 Years",2014,"2014",102,61,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0021771146827175513
3,"Foreign Born",8,"62 to 64 Years",2014,"2014",41,37,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0008751147254060746
3,"Foreign Born",9,"65 to 74 Years",2014,"2014",96,69,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.002049049113145931
3,"Foreign Born",10,"75 Years & Over",2014,"2014",84,101,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0017929179740026895
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6039,"2013",2259,406,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.048902454864268086
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6039,"2013",4727,797,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.10232930683638568
